Сущность	Атрибут	Описание атрибута
Услуга	идентификатор	Первичный ключ (поле service_id в БД, автоинкремент)
Услуга	название	Название услуги
Услуга	подзаголовок	Краткий подзаголовок услуги
Услуга	стоимость	Цена услуги (целое число)
Услуга	адрес видео	URL видеоролика, связанного с услугой
Услуга	описание	Полное текстовое описание услуги
Услуга	изображение (основное)	URL основного изображения услуги
Услуга	изображение 1	URL дополнительного изображения (галерея)
Услуга	изображение 2	URL дополнительного изображения (галерея)
Услуга	изображение 3	URL дополнительного изображения (галерея)
Услуга	изображение 4	URL дополнительного изображения (необязательное)
Услуга	идентификатор категории услуг	Внешний ключ на категорию услуг (обязательное поле)
Услуга	идентификатор вопросов (устар.)	Устаревшее служебное поле; связь с вопросами через сущность «Вопрос»
Услуга	идентификатор отзывов (устар.)	Устаревшее служебное поле; связь с отзывами через сущность «Отзыв»
Связь услуга–специалист	идентификатор услуги	Внешний ключ на услугу, часть составного первичного ключа (связь M:N)
Связь услуга–специалист	идентификатор специалиста	Внешний ключ на специалиста, часть составного первичного ключа (связь M:N)
Категория	идентификатор	Первичный ключ (поле category_id в БД; справочник только для партнёров)
Категория	название	Название категории
Категория	ярлык	Уникальный URL-идентификатор категории (латиница, для маршрутов)
Категория услуг	идентификатор	Первичный ключ (поле service_category_id в БД)
Категория услуг	название	Название категории в меню услуг
Категория услуг	ярлык	Уникальный URL-идентификатор (для навигации и маршрутов)
Категория услуг	иконка	Название иконки для отображения в меню (необязательное)
Категория услуг	описание	Текстовое описание категории (необязательное)
Категория услуг	идентификатор родителя	Внешний ключ на родительскую категорию (NULL — корень дерева)
Категория услуг	порядок	Порядок сортировки в меню
Категория услуг	активна	Признак активности категории (отображение на сайте)
Категория услуг	дата создания	Дата и время создания записи
Категория услуг	дата обновления	Дата и время последнего изменения записи
Специалист	идентификатор	Первичный ключ (поле specialists_id в БД)
Специалист	идентификатор категории услуг	Внешний ключ на категорию услуг (обязательное поле)
Специалист	ФИО	Фамилия, имя, отчество специалиста
Специалист	специализация	Специализация (текстовое поле)
Специалист	квалификация	Квалификационная категория или степень
Специалист	опыт работы	Стаж работы (в годах, целое число)
Специалист	рейтинг	Оценка или рейтинг специалиста
Специалист	адрес изображения	URL фотографии специалиста
Специалист	область деятельности	Область профессиональной деятельности (необязательное)
Специалист	сведения об образовании	Подробные сведения об образовании (текст, необязательное)
Специалист	конференции	Массив строк — участие в конференциях
Специалист	специализации	Массив строк — перечень специализаций
Специалист	образование	Массив строк — сведения об образовании
Специалист	примеры работ	JSON-структура: заголовок и массив изображений (необязательное)
Категория вопросов	идентификатор	Первичный ключ
Категория вопросов	название	Название категории FAQ
Категория вопросов	ярлык	Уникальный URL-идентификатор категории
Категория вопросов	описание	Описание категории (необязательное)
Категория вопросов	порядок	Порядок сортировки в списке
Категория вопросов	активна	Признак активности категории
Категория вопросов	дата создания	Дата и время создания записи
Категория вопросов	дата обновления	Дата и время последнего изменения записи
Вопрос	идентификатор	Первичный ключ
Вопрос	текст вопроса	Формулировка вопроса
Вопрос	ответ	Текст ответа (необязательное)
Вопрос	идентификатор услуги	Внешний ключ на услугу (необязательное)
Вопрос	идентификатор категории вопросов	Внешний ключ на категорию вопросов (необязательное)
Отзыв	идентификатор	Первичный ключ (поле reviews_id в БД)
Отзыв	имя автора	Имя пользователя, оставившего отзыв
Отзыв	текст	Текст отзыва
Отзыв	дата	Дата публикации отзыва
Отзыв	оценка	Числовая оценка (рейтинг)
Отзыв	адрес изображения	URL изображения автора или к отзыву
Отзыв	верифицирован	Признак проверки отзыва администратором
Отзыв	идентификатор услуги	Внешний ключ на услугу (необязательное; без привязки — отзыв о клинике)
Партнёр	идентификатор	Первичный ключ
Партнёр	идентификатор категории	Внешний ключ на категорию (справочник партнёров)
Партнёр	адрес изображения	URL логотипа или изображения партнёра
Партнёр	название	Наименование партнёра
Партнёр	описание	Текстовое описание партнёра
Партнёр	номер	Порядковый номер для сортировки или отображения
Партнёр	адрес сайта	URL официального сайта партнёра
Вакансия	идентификатор	Первичный ключ
Вакансия	название	Наименование вакансии
Вакансия	категория	Категория вакансии (текстовое поле, не внешний ключ)
Вакансия	описание	Описание вакансии
Вакансия	оплата	Размер оплаты (целое число)
Вакансия	опыт работы	Требуемый опыт (в годах)
